Repos,id,stars,forks,commits,contributors,releases,branches,open_pulls,closed_pulls,open_issues,closed_issues,size,archived,created_at,updated_at,age,language,,pull_requests,issues
Tencent/Metis,152712376,1501,471,74,4,1,6,5,16,31,68,5039,FALSE,10/12/2018 0:00,4/19/2023 0:00,54,Python,,21,99
logpai/loglizer,58811148,1070,396,121,5,0,0,5,8,19,64,11102,FALSE,5/14/2016 0:00,4/19/2023 0:00,83,Jupyter Notebook,,13,83
whylabs/whylogs,287642401,2184,95,646,37,106,114,9,862,21,321,111076,FALSE,8/14/2020 0:00,4/20/2023 0:00,32,Jupyter Notebook,,871,342
centreon/centreon,496143272,30,14,"31,140",66,0,164,64,"1,250",33,20,315505,FALSE,5/25/2022 0:00,4/7/2023 0:00,11,PHP,,1314,53
jixinpu/aiopstools,160285839,329,126,27,2,0,0,2,1,9,6,139,FALSE,12/4/2018 0:00,4/19/2023 0:00,52,Python,,3,15
donglee-afar/logdeep,246569386,301,92,18,0,0,0,0,0,30,8,6293,FALSE,3/11/2020 0:00,4/3/2023 0:00,37,Python,,0,38
AICoE/log-anomaly-detector,148634371,279,122,465,13,0,13,2,211,0,178,19510,FALSE,9/13/2018 0:00,4/19/2023 0:00,55,Jupyter Notebook,,213,178
whylabs/whylogs-java,288033225,175,9,214,8,1,15,1,42,1,3,6238,TRUE,8/16/2020 0:00,3/21/2023 0:00,31,Java,,43,4
logpai/Log3C,142442484,163,43,18,2,0,2,1,0,1,8,22,FALSE,7/26/2018 0:00,3/15/2023 0:00,56,Python,,1,9
keikoproj/active-monitor,201529303,149,31,89,12,8,13,6,78,6,54,434,FALSE,8/9/2019 0:00,4/4/2023 0:00,44,Go,,84,60
rancher/opni,353100280,252,43,"2,802",11,68,58,21,647,99,529,83874,FALSE,3/30/2021 0:00,4/17/2023 0:00,25,Go,,668,628
Impetus/jumbune,20530482,69,32,333,15,5,100,65,121,2,0,33203,FALSE,6/5/2014 0:00,3/18/2022 0:00,93,Java,,186,2
kylechenoO/AIOPS_PLATFORM,174058957,68,36,204,0,0,11,10,7,0,0,12752,FALSE,3/6/2019 0:00,9/8/2022 0:00,42,Python,,17,0
OS-ABC/AIOPS-Anomaly-Detection,345299329,47,15,54,2,0,0,0,5,0,0,64978,FALSE,3/7/2021 0:00,2/10/2023 0:00,23,Python,,5,0
OS-ABC/AIOps-Event-Graph-WebData,345320486,40,20,10,2,0,0,0,2,0,0,237147,FALSE,3/7/2021 0:00,2/28/2023 0:00,23,HTML,,2,0
OS-ABC/AIOps-Knowledge-Graph-WebData,345320364,38,15,13,2,0,0,0,3,0,0,2015,FALSE,3/7/2021 0:00,12/8/2022 0:00,21,Java,,3,0
OS-ABC/AIOps-Fault-Injection,345299736,35,15,7,2,0,0,0,2,0,0,99,FALSE,3/7/2021 0:00,10/6/2021 0:00,7,Java,,2,0
CloudWise-OpenSource/GAIA-DataSet,397983735,83,24,21,2,2,0,0,0,5,6,7809649,FALSE,8/19/2021 0:00,4/17/2023 0:00,20,,,0,11
chengqianghuang/exp-anomaly-detector-AIOps,140487488,37,27,9,0,0,0,0,0,2,0,2232,FALSE,7/10/2018 0:00,2/18/2023 0:00,55,Jupyter Notebook,,0,2
NetManAIOps/KPI-Anomaly-Detection,238914477,57,16,8,3,0,0,0,0,3,0,51067,FALSE,2/7/2020 0:00,4/13/2023 0:00,38,,,0,3
afritzler/oopsie,226591966,28,1,215,2,30,3,2,196,2,7,8989,FALSE,12/8/2019 0:00,3/28/2023 0:00,39,Go,,198,9
shimo85/2019AIOps_ai,165321356,25,14,40,0,0,0,0,0,2,0,444553,FALSE,1/11/2019 0:00,4/17/2023 0:00,51,Python,,0,2
vipsql/AIOPS,205405830,24,20,12,0,0,0,0,0,0,0,1219,FALSE,8/30/2019 0:00,12/5/2022 0:00,40,Java,,0,0
NetManAIOps/AIOps-Challenge-2020-Data,304488815,47,11,16,2,0,0,0,2,3,0,17,FALSE,10/16/2020 0:00,3/31/2023 0:00,29,,,2,3
dreamhomes/TroubleShooter,302842095,26,13,13,0,0,0,0,0,0,0,5118,FALSE,10/10/2020 0:00,4/5/2023 0:00,30,Jupyter Notebook,,0,0
MichaelYin1994/aiops-competition-solutions,368728137,32,10,11,0,0,0,0,0,1,1,7852,FALSE,5/19/2021 0:00,4/19/2023 0:00,23,Python,,0,2
NetManAIOps/MultiDimension-Localization,238931789,17,11,2,2,0,0,0,0,0,0,609672,FALSE,2/7/2020 0:00,4/19/2023 0:00,38,,,0,0
lilihongjava/aiops,346893655,31,18,10,0,0,0,0,0,0,1,8970,FALSE,3/12/2021 0:00,4/19/2023 0:00,25,Python,,0,1
jorge-cardoso/aiops_practice,210191754,5,1,22,0,0,0,0,0,0,0,145,FALSE,9/22/2019 0:00,1/6/2021 0:00,16,Python,,0,0
nailo2c/spellpy,244678163,12,6,37,0,0,0,0,0,0,0,212,FALSE,3/3/2020 0:00,4/5/2023 0:00,37,Python,,0,0
ixalodecte/AI-Log-Analyzer,345575577,11,5,57,3,0,0,0,0,0,0,116,FALSE,3/8/2021 0:00,3/9/2023 0:00,24,Python,,0,0
sea-boat/Sea-AIOps,158311955,4,4,4,0,0,0,0,0,0,0,4,FALSE,11/20/2018 0:00,8/17/2021 0:00,33,Python,,0,0
lihaolixuewei112612/bigdata-aiops,257568839,2,4,71,2,0,17,11,9,0,0,22923,FALSE,4/21/2020 0:00,6/15/2022 0:00,26,Java,,20,0
meng2468/AIOps-Challenge,307319321,8,4,240,3,0,2,0,9,0,9,215384,FALSE,10/26/2020 0:00,3/1/2023 0:00,29,Jupyter Notebook,,9,9
AI-HIT-OPs/AIOPs,149536536,2,2,42,0,0,0,0,0,0,0,56202,FALSE,9/20/2018 0:00,5/30/2019 0:00,8,Python,,0,0
alebeck/AIOps,156155062,10,4,24,0,0,0,0,0,1,0,4970,FALSE,11/5/2018 0:00,1/7/2023 0:00,50,Python,,0,1
gantry-platform/gantry-aiops,267741492,2,2,57,4,0,7,6,18,0,4,6509,FALSE,5/29/2020 0:00,9/15/2020 0:00,4,Jupyter Notebook,,24,4
logpai/loghub,60705895,1079,505,87,4,0,0,0,5,6,14,6667,FALSE,6/8/2016 0:00,4/20/2023 0:00,82,,,5,20
slrbl/Intrusion-and-anomaly-detection-with-machine-learning,83909958,125,69,164,2,0,0,0,1,0,0,10721,FALSE,3/4/2017 0:00,3/27/2023 0:00,72,Python,,1,0
ait-aecid/logdata-anomaly-miner,251381311,37,18,"2,621",11,17,3,7,586,80,545,51152,FALSE,3/30/2020 0:00,3/29/2023 0:00,36,Python,,593,625
ewilded/Intrusive,7320682,9,7,8,0,0,0,0,0,0,0,1299,FALSE,12/25/2012 0:00,10/24/2022 0:00,118,Perl,,0,0
magneticstain/Inquisition,87564132,6,4,354,0,0,2,0,2,31,125,5042,FALSE,4/7/2017 0:00,12/13/2019 0:00,32,Python,,2,156
davide97l/Log-Analysis-for-Anomaly-Detection,217661848,9,8,8,0,0,0,0,0,1,0,7820,FALSE,10/26/2019 0:00,2/26/2023 0:00,40,Python,,0,1
