Repos,id,stars,forks,commits,contributors,releases,branches,open_pulls,closed_pulls,open_issues,closed_issues,size,archived,created_at,updated_at,age,language,,pull_requests,issues
lazerwalker/machine-learning-rps,274473646,5,6,74,4,0,16,13,9,1,3,15447,FALSE,6/23/2020 0:00,10/19/2021 0:00,16,TypeScript,,22,4
AP6YC/AdaptiveResonance.jl,275214858,16,3,560,4,26,13,0,78,5,39,35729,FALSE,6/26/2020 0:00,2/1/2023 0:00,32,Julia,,78,44
roysaurabh1308/Smart-Home-Web-Version-1.0,288984231,1,1,6,0,0,0,0,0,0,0,143832,FALSE,8/20/2020 0:00,11/18/2020 0:00,3,CSS,,0,0
hrlee113/gameplaylist,384016946,1,6,101,0,0,0,0,0,0,0,217,FALSE,7/8/2021 0:00,7/26/2021 0:00,0,Python,,0,0
isarandi/metrabs,289547668,284,42,74,0,0,0,0,0,8,45,7173,FALSE,8/22/2020 0:00,3/14/2023 0:00,31,Python,,0,53
guijinSON/NNHedge,434437167,20,5,76,0,0,0,0,0,0,1,107,FALSE,12/3/2021 0:00,3/3/2023 0:00,15,Python,,0,1
PacktPublishing/Deep-Reinforcement-Learning-Hands-On-Second-Edition,195020985,786,434,290,7,0,7,8,22,13,24,26185,FALSE,7/3/2019 0:00,3/16/2023 0:00,44,Jupyter Notebook,,30,37
pranavj1001/MachineLearningRecipes,111942372,2,2,92,0,0,0,0,0,0,0,539,FALSE,11/24/2017 0:00,3/10/2023 0:00,64,Jupyter Notebook,,0,0
bhanuvikasr/Deep-RL-TORCS,92107154,21,13,16,0,0,0,0,0,0,0,15100,FALSE,5/22/2017 0:00,9/2/2022 0:00,64,Python,,0,0
leoshine/Spherical_Regression,177441335,139,15,19,0,0,0,0,0,0,13,6464,FALSE,3/24/2019 0:00,2/6/2023 0:00,47,Python,,0,13
DhruvSrikanth/2D-3D-Single-View-Reconstruction,341252807,4,1,131,3,0,8,0,0,0,0,36873,FALSE,2/22/2021 0:00,11/26/2022 0:00,21,Python,,0,0
alvinbhou/HTC-DeepQ-Chest14,117455185,1,1,16,2,0,3,2,11,0,0,1276,FALSE,1/14/2018 0:00,2/24/2022 0:00,49,Python,,13,0
xashru/bangla-text-classification,314825617,4,4,2,0,0,0,0,0,0,0,1077,FALSE,11/21/2020 0:00,1/9/2023 0:00,26,Python,,0,0
