smells,bugs,vulnerabilities,security_hotspots,lines_of_code,comments,comments_density,debt,smells_minor,smells_major,smells_critical,smells_blocker,smells_info,bugs_minor,bugs_major,bugs_critical,bugs_blocker,bugs_info,vulnerabilities_minor,vulnerabilities_major,vulnerabilities_critical,vulnerabilities_blocker,vulnerabilities_info,hotspots_minor,hotspots_major,hotspots_critical,hotspots_blocker,hotspots_info
7.0,0.0,0.0,2.0,2411.0,107.0,4.249404289118348,38.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
40.0,0.0,0.0,0.0,2165.0,292.0,11.884411884411884,405.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,1.0,1825.0,1319.0,41.9529262086514,584.0,39.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
143.0,7.0,0.0,2.0,2445.0,1577.0,39.209348582794625,810.0,77.0,26.0,40.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
30.0,4.0,0.0,2.0,238.0,108.0,31.213872832369944,176.0,20.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,2.0,422.0,282.0,40.05681818181818,118.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
43.0,11.0,0.0,17.0,3410.0,798.0,18.9638783269962,360.0,12.0,22.0,9.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,2.0,0.0
99.0,12.0,0.0,10.0,3752.0,762.0,16.880815241470977,562.0,48.0,31.0,18.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0
19.0,1.0,0.0,3.0,1521.0,503.0,24.851778656126484,126.0,3.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2215.0,511.0,0.0,137.0,173083.0,26998.0,13.493535118277098,46823.0,280.0,1523.0,335.0,30.0,47.0,87.0,407.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,121.0,0.0,0.0
235.0,14.0,0.0,3.0,5535.0,339.0,5.771195097037793,1721.0,159.0,34.0,31.0,2.0,9.0,2.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10.0,9.0,0.0,2.0,237.0,49.0,17.132867132867133,165.0,1.0,2.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.0,20.0,0.0,0.0,1176.0,1089.0,48.079470198675494,390.0,0.0,26.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,2.0,2189.0,181.0,7.637130801687764,215.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
36.0,0.0,0.0,0.0,253.0,115.0,31.25,145.0,27.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,0.0,0.0,471.0,260.0,35.56771545827633,155.0,2.0,10.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,437.0,150.0,25.55366269165247,72.0,0.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.0,4.0,0.0,2.0,2762.0,575.0,17.231045849565476,861.0,146.0,16.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8697.0,5.0,7.0,82.0,431952.0,34224.0,7.34143327841845,134310.0,5107.0,499.0,3014.0,1.0,76.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,1.0,61.0,4.0,0.0
51.0,2.0,0.0,53.0,6035.0,1849.0,23.45256215119229,539.0,0.0,4.0,46.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,49.0,0.0,0.0
15.0,1.0,0.0,1.0,550.0,74.0,11.858974358974358,85.0,4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,3.0,0.0,0.0,587.0,249.0,29.784688995215312,220.0,0.0,8.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,283.0,161.0,36.26126126126126,148.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.0,0.0,346.0,176.0,33.71647509578544,37.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.0,0.0,500.0,184.0,26.900584795321635,114.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,331.0,103.0,23.732718894009217,167.0,14.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,8.0,0.0,0.0,1315.0,570.0,30.238726790450926,160.0,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,2.0,2.0,284.0,124.0,30.392156862745097,130.0,0.0,15.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
153.0,0.0,0.0,0.0,2412.0,754.0,23.81554011370815,1003.0,4.0,117.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,1.0,103.0,248.0,70.65527065527066,55.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
475.0,2.0,0.0,3.0,7389.0,1933.0,20.735893585067583,2280.0,360.0,69.0,42.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
30.0,1.0,0.0,0.0,520.0,295.0,36.19631901840491,188.0,13.0,6.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,9.0,0.0,0.0,968.0,219.0,18.44987363100253,262.0,19.0,9.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1717.0,6.0,0.0,2.0,146710.0,7963.0,5.148280566097509,15803.0,556.0,127.0,972.0,0.0,62.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
157.0,0.0,0.0,10.0,6070.0,1218.0,16.712403951701425,820.0,78.0,44.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
298.0,1.0,0.0,3.0,4106.0,817.0,16.595571805809467,2258.0,165.0,100.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
508.0,13.0,0.0,89.0,39172.0,8902.0,18.51728585097974,13050.0,38.0,206.0,264.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,59.0,2.0,0.0
