smells,bugs,vulnerabilities,security_hotspots,lines_of_code,comments,comments_density,debt,smells_minor,smells_major,smells_critical,smells_blocker,smells_info,bugs_minor,bugs_major,bugs_critical,bugs_blocker,bugs_info,vulnerabilities_minor,vulnerabilities_major,vulnerabilities_critical,vulnerabilities_blocker,vulnerabilities_info,hotspots_minor,hotspots_major,hotspots_critical,hotspots_blocker,hotspots_info
5.0,8.0,0.0,0.0,1597.0,482.0,23.184223184223185,42.0,2.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
891.0,364.0,0.0,48.0,39816.0,1867.0,4.479044214667851,11246.0,127.0,676.0,81.0,7.0,0.0,7.0,355.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0
4.0,0.0,0.0,0.0,133.0,42.0,24.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7.0,0.0,0.0,380.0,8.0,2.0618556701030926,13.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.0,0.0,0.0,2965.0,290.0,8.90937019969278,416.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.0,0.0,0.0,628.0,25.0,3.828483920367534,66.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,1.0,7394.0,2332.0,23.976968949208306,437.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2767.0,96.0,13.0,32.0,54705.0,4421.0,7.477251970368366,23345.0,1257.0,1045.0,407.0,9.0,49.0,29.0,43.0,14.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,14.0,4.0,14.0,0.0,0.0
14.0,0.0,0.0,0.0,419.0,269.0,39.098837209302324,75.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,2.0,56.0,31.0,35.63218390804598,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5.0,0.0,1.0,261.0,77.0,22.781065088757398,58.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
456.0,27.0,0.0,22.0,18492.0,5760.0,23.75061850569025,27662.0,107.0,279.0,66.0,0.0,4.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0
29.0,7.0,0.0,2.0,266.0,26.0,8.904109589041095,249.0,13.0,14.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5.0,12.0,0.0,0.0,1684.0,182.0,9.753483386923902,31.0,0.0,5.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364.0,6.0,0.0,2.0,21723.0,4875.0,18.328445747800586,3400.0,44.0,271.0,40.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
495.0,0.0,0.0,0.0,3587.0,890.0,19.87938351574715,1817.0,417.0,66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4988.0,701.0,0.0,0.0,3771.0,34.0,0.8935611038107752,26774.0,1.0,4987.0,0.0,0.0,0.0,550.0,101.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,5.0,0.0,2.0,987.0,364.0,26.94300518134715,303.0,36.0,12.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
